X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.470750, -0.470500, -0.000000, 0.300000, SAFE, 41096.077082, 22821.132812, 1, 1750
-0.471750, -0.471500, -0.000000, 0.300000, SAFE, 41390.334582, 22997.738281, 1, 1750
-0.471000, -0.470750, -0.000000, 0.300000, SAFE, 41186.123388, 22944.806641, 1, 1750
-0.586000, -0.585750, -0.000000, 0.300000, SAFE, 41491.158992, 22317.556641, 1, 1978
-0.582250, -0.582000, -0.000000, 0.300000, SAFE, 40925.667056, 22021.363281, 2, 1960
-0.589750, -0.589500, -0.000000, 0.300000, SAFE, 42867.850996, 23057.335938, 2, 2036
-0.582750, -0.582500, -0.000000, 0.300000, SAFE, 40928.282347, 22061.291016, 1, 1959
-0.586250, -0.586000, -0.000000, 0.300000, SAFE, 41855.141781, 22697.482422, 1, 1978
-0.584000, -0.583750, -0.000000, 0.300000, SAFE, 41023.363217, 22071.820312, 1, 1959
-0.580500, -0.580250, -0.000000, 0.300000, SAFE, 40320.613674, 21707.316406, 1, 1940
-0.584250, -0.584000, -0.000000, 0.300000, SAFE, 40989.734014, 22102.271484, 1, 1959
-0.580000, -0.579750, -0.000000, 0.300000, SAFE, 40540.446342, 21787.406250, 1, 1940
-0.587500, -0.587250, -0.000000, 0.300000, SAFE, 41818.704806, 22514.121094, 1, 1997
-0.581000, -0.580750, -0.000000, 0.300000, SAFE, 40480.734440, 21789.419922, 1, 1940
-0.588250, -0.588000, -0.000000, 0.300000, SAFE, 42553.396269, 22907.500000, 2, 2017
-0.582500, -0.582250, -0.000000, 0.300000, SAFE, 40981.078697, 22093.716797, 1, 1959
-0.580750, -0.580500, -0.000000, 0.300000, SAFE, 40549.650900, 21898.904297, 1, 1940
-0.587000, -0.586750, -0.000000, 0.300000, SAFE, 42123.137897, 22689.554688, 1, 1997
-0.585750, -0.585500, -0.000000, 0.300000, SAFE, 41438.629123, 22294.638672, 1, 1978
-0.581250, -0.581000, -0.000000, 0.300000, SAFE, 40528.741210, 21816.322266, 1, 1940
-0.579250, -0.579000, -0.000000, 0.300000, SAFE, 40330.643184, 21612.708984, 1, 1921
-0.589000, -0.588750, -0.000000, 0.300000, SAFE, 42465.906831, 22868.746094, 1, 2016
-0.585000, -0.584750, -0.000000, 0.300000, SAFE, 41517.823352, 22368.693359, 1, 1978
-0.589250, -0.589000, -0.000000, 0.300000, SAFE, 42383.605492, 22897.855469, 1, 2016
-0.583750, -0.583500, -0.000000, 0.300000, SAFE, 41016.791651, 22160.242188, 1, 1959
-0.589500, -0.589250, -0.000000, 0.300000, SAFE, 42524.458868, 22955.031250, 1, 2016
-0.586750, -0.586500, -0.000000, 0.300000, SAFE, 42097.784893, 22630.982422, 2, 1998
-0.583250, -0.583000, -0.000000, 0.300000, SAFE, 40971.521194, 22021.542969, 1, 1959
