X1 lower, X1 upper, X3 lower, X3 upper, Result, Total Time, DNN Time, Num Branches, Num Flowpipes
-0.464500, -0.464250, 0.500000, 2.000000, SAFE, 62433.162030, 33787.738281, 2, 1830
-0.466000, -0.465750, 0.500000, 2.000000, SAFE, 62368.182629, 33779.144531, 2, 1830
-0.467000, -0.466750, 0.500000, 2.000000, SAFE, 62571.532204, 33912.195312, 2, 1830
-0.463250, -0.463000, 0.500000, 2.000000, SAFE, 62496.732518, 33753.816406, 2, 1830
-0.472500, -0.472250, 0.500000, 2.000000, SAFE, 62713.738634, 34092.296875, 1, 1829
-0.475000, -0.474750, 0.500000, 2.000000, SAFE, 62818.136188, 33993.574219, 1, 1829
-0.469750, -0.469500, 0.500000, 2.000000, SAFE, 62424.446342, 33740.449219, 2, 1830
-0.472750, -0.472500, 0.500000, 2.000000, SAFE, 62414.466116, 33822.585938, 1, 1829
-0.549875, -0.549850, 0.500000, 2.000000, NONE, , , , 
-0.549900, -0.549875, 0.500000, 2.000000, NONE, , , , 
-0.448500, -0.448250, 0.500000, 2.000000, SAFE, 50079.084085, 26555.224609, 1, 1808
-0.444500, -0.444250, 0.500000, 2.000000, SAFE, 50083.672034, 26381.314453, 1, 1808
-0.447000, -0.446750, 0.500000, 2.000000, SAFE, 49836.444060, 26423.966797, 1, 1808
-0.449250, -0.449000, 0.500000, 2.000000, SAFE, 49853.325011, 26387.212891, 1, 1808
-0.449500, -0.449250, 0.500000, 2.000000, SAFE, 49758.416789, 26294.855469, 1, 1808
-0.449000, -0.448750, 0.500000, 2.000000, SAFE, 49791.663032, 26363.265625, 1, 1808
-0.446000, -0.445750, 0.500000, 2.000000, SAFE, 49718.291972, 26292.410156, 1, 1808
-0.448250, -0.448000, 0.500000, 2.000000, SAFE, 49880.003081, 26370.419922, 1, 1808
-0.446250, -0.446000, 0.500000, 2.000000, SAFE, 49720.702488, 26318.837891, 1, 1808
-0.441500, -0.441250, 0.500000, 2.000000, SAFE, 49852.369912, 26266.230469, 1, 1808
-0.443000, -0.442750, 0.500000, 2.000000, SAFE, 49822.918399, 26473.865234, 1, 1808
-0.448750, -0.448500, 0.500000, 2.000000, SAFE, 50015.097022, 26638.335938, 1, 1808
-0.445000, -0.444750, 0.500000, 2.000000, SAFE, 49992.392060, 26592.720703, 1, 1808
-0.440750, -0.440500, 0.500000, 2.000000, SAFE, 49761.779811, 26253.771484, 1, 1808
-0.444000, -0.443750, 0.500000, 2.000000, SAFE, 49590.709242, 26261.406250, 1, 1808
-0.446500, -0.446250, 0.500000, 2.000000, SAFE, 49813.909591, 26447.785156, 1, 1808
-0.445750, -0.445500, 0.500000, 2.000000, SAFE, 49884.500493, 26419.380859, 1, 1808
-0.445250, -0.445000, 0.500000, 2.000000, SAFE, 49995.526498, 26377.988281, 1, 1808
-0.445500, -0.445250, 0.500000, 2.000000, SAFE, 49779.084186, 26296.833984, 1, 1808
-0.444750, -0.444500, 0.500000, 2.000000, SAFE, 49817.411588, 26468.501953, 1, 1808
-0.450000, -0.449750, 0.500000, 2.000000, SAFE, 49806.927204, 26427.533203, 1, 1808
-0.440250, -0.440000, 0.500000, 2.000000, SAFE, 49822.677608, 26405.207031, 1, 1808
-0.441000, -0.440750, 0.500000, 2.000000, SAFE, 49879.435626, 26447.216797, 1, 1808
-0.447500, -0.447250, 0.500000, 2.000000, SAFE, 49959.014123, 26393.433594, 1, 1808
-0.443500, -0.443250, 0.500000, 2.000000, SAFE, 49753.208539, 26323.414062, 1, 1808
-0.447250, -0.447000, 0.500000, 2.000000, SAFE, 49790.022892, 26420.220703, 1, 1808
-0.443750, -0.443500, 0.500000, 2.000000, SAFE, 49634.326294, 26291.392578, 1, 1808
-0.449750, -0.449500, 0.500000, 2.000000, SAFE, 49790.853387, 26315.281250, 1, 1808
-0.447750, -0.447500, 0.500000, 2.000000, SAFE, 49882.226060, 26440.576172, 1, 1808
-0.442250, -0.442000, 0.500000, 2.000000, SAFE, 49722.401697, 26277.533203, 1, 1808
-0.442000, -0.441750, 0.500000, 2.000000, SAFE, 49640.064163, 26259.867188, 1, 1808
-0.444250, -0.444000, 0.500000, 2.000000, SAFE, 49549.160230, 26191.371094, 1, 1808
-0.442500, -0.442250, 0.500000, 2.000000, SAFE, 49730.369427, 26282.462891, 1, 1808
-0.448000, -0.447750, 0.500000, 2.000000, SAFE, 49849.706917, 26332.109375, 1, 1808
-0.440500, -0.440250, 0.500000, 2.000000, SAFE, 49644.772697, 26196.693359, 1, 1808
-0.446750, -0.446500, 0.500000, 2.000000, SAFE, 49645.569722, 26269.644531, 1, 1808
-0.442750, -0.442500, 0.500000, 2.000000, SAFE, 49818.951377, 26289.716797, 1, 1808
-0.441750, -0.441500, 0.500000, 2.000000, SAFE, 49608.457165, 26234.798828, 1, 1808
-0.443250, -0.443000, 0.500000, 2.000000, SAFE, 49607.163283, 26202.121094, 1, 1808
